Building attiny25 with CPU 128000L and 1200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 128000L and 1200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 128000L and 1200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 128000L and 2400 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 128000L and 2400 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 128000L and 2400 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 1000000L and 1200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 1000000L and 1200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 1000000L and 1200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 1000000L and 2400 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 1000000L and 2400 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 1000000L and 2400 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 1000000L and 4800 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 1000000L and 4800 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 1000000L and 4800 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 1000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 1000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 1000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 8000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 8000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 8000000L and 9600 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 8000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 8000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 8000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 8000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 8000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 8000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 8000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 8000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 8000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 8000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 8000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 8000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 16000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 16000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 16000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 16000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 16000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 16000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 16000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 16000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 16000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 16000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 16000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 16000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 20000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 20000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 20000000L and 19200 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 20000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 20000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 20000000L and 38400 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 20000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 20000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 20000000L and 57600 BAUD ... OK, SIZE: 578
Building attiny25 with CPU 20000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny45 with CPU 20000000L and 115200 BAUD ... OK, SIZE: 578
Building attiny85 with CPU 20000000L and 115200 BAUD ... OK, SIZE: 578
